iter	Passed	Remaining
736	39350	14042
737	39403	13988
738	39460	13936
739	39505	13880
740	39563	13828
741	39633	13780
742	39760	13752
743	39845	13710
744	39901	13657
745	40013	13623
746	40113	13586
747	40209	13546
748	40268	13494
749	40314	13438
750	40368	13384
751	40421	13330
752	40481	13278
753	40542	13227
754	40597	13174
755	40653	13121
756	40710	13068
757	40771	13016
758	40822	12961
759	40876	12908
760	40933	12855
761	40957	12792
762	41009	12738
763	41065	12685
764	41121	12632
765	41179	12579
766	41235	12526
767	41295	12474
768	41342	12418
769	41397	12365
770	41457	12313
771	41506	12258
772	41566	12206
773	41607	12149
774	41656	12093
775	41705	12038
776	41762	11985
777	41810	11930
778	41850	11872
779	41899	11817
780	41959	11765
781	42015	11712
782	42067	11658
783	42125	11606
784	42182	11553
785	42233	11498
786	42279	11442
787	42327	11387
788	42374	11332
789	42423	11277
790	42474	11222
791	42534	11170
792	42589	11117
793	42647	11064
794	42691	11008
795	42742	10954
796	42794	10900
797	42851	10847
798	42901	10792
799	42953	10738
800	43014	10686
801	43064	10631
802	43090	10571
803	43133	10515
804	43186	10461
805	43262	10412
806	43316	10359
807	43375	10307
808	43432	10254
809	43490	10201
810	43541	10147
811	43595	10093
812	43655	10041
813	43708	9987
814	43755	9932
815	43811	9879
816	43872	9826
817	43935	9775
818	43998	9723
819	44057	9671
820	44113	9617
821	44162	9563
822	44222	9510
823	44286	9459
824	44341	9405
825	44394	9351
826	44449	9298
827	44500	9244
828	44552	9190
829	44611	9137
830	44661	9082
831	44714	9028
832	44756	8972
833	44799	8916
834	44853	8863
835	44907	8809
836	44958	8755
837	45013	8701
838	45063	8647
839	45102	8590
840	45153	8536
841	45213	8484
842	45268	8430
843	45324	8377
844	45376	8323
845	45427	8269
846	45471	8213
847	45525	8160
848	45580	8106
849	45634	8053
850	45686	7999
851	45722	7942
852	45766	7887
853	45819	7833
854	45872	7779
855	45927	7726
856	45975	7671
857	46011	7615
858	46059	7560
859	46100	7504
860	46158	7451
861	46217	7399
862	46269	7345
863	46323	7291
864	46368	7236
865	46416	7182
866	46485	7130
867	46552	7079
868	46613	7026
869	46668	6973
870	46727	6920
871	46779	6866
872	46828	6812
873	46885	6759
874	46929	6704
875	46988	6651
876	47032	6596
877	47081	6542
878	47134	6488
879	47187	6434
880	47243	6381
881	47292	6327
882	47330	6271
883	47370	6216
884	47410	6160
885	47450	6105
886	47507	6052
887	47557	5998
888	47613	5944
889	47661	5890
890	47716	5837
891	47743	5780
892	47786	5725
893	47837	5671
894	47893	5618
895	47941	5564
896	47992	5510
897	48041	5456
898	48096	5403
899	48141	5349
900	48196	5295
901	48241	5241
902	48289	5187
903	48315	5130
904	48373	5077
905	48424	5024
906	48466	4969
907	48521	4916
908	48550	4860
909	48601	4806
910	48658	4753
911	48713	4700
912	48758	4646
913	48816	4593
914	48861	4539
915	48908	4485
916	48948	4430
917	48998	4376
918	49053	4323
919	49109	4270
920	49149	4215
921	49211	4163
922	49273	4110
923	49322	4056
924	49380	4003
925	49441	3951
926	49507	3898
927	49588	3847
928	49655	3795
929	49706	3741
930	49759	3687
931	49786	3632
932	49841	3579
933	49896	3525
934	49937	3471
935	49986	3417
936	50041	3364
937	50077	3310
938	50137	3257
939	50190	3203
940	50241	3150
941	50302	3097
942	50360	3044
943	50418	2990
944	50471	2937
945	50528	2884
946	50578	2830
947	50639	2777
948	50694	2724
949	50746	2670
950	50828	2618
951	50918	2567
952	51000	2515
953	51141	2465
954	51257	2415
955	51335	2362
956	51419	2310
957	51512	2258
958	51568	2204
959	51609	2150
960	51695	2097
961	51762	2044
962	51876	1993
963	51947	1939
964	52011	1886
965	52080	1833
966	52144	1779
967	52224	1726
968	52300	1673
969	52366	1619
970	52418	1565
971	52470	1511
972	52539	1457
973	52591	1403
974	52627	1349
975	52659	1294
976	52717	1241
977	52787	1187
978	52851	1133
979	52904	1079
980	52947	1025
981	53000	971
982	53033	917
983	53082	863
984	53131	809
985	53180	755
986	53224	701
987	53270	647
988	53328	593
989	53385	539
990	53440	485
991	53496	431
992	53541	377
993	53593	323
994	53650	269
995	53701	215
996	53772	161
997	53849	107
998	53915	53
999	53957	0
